customer_id,customer_name,gender,age,city,state,region_id,segment,join_date
C00024,Dakshesh Sha,Female,58,Delhi,Delhi,R001,Small Business,2023-08-07
C00025,Ranbir Basak,Male,61,Lucknow,Uttar Pradesh,R001,Corporate,2025-12-23
C00026,Yachana Bhavsar,Male,32,Visakhapatnam,Andhra Pradesh,R002,Consumer,2024-08-10
C00027,Wakeeta Dash,Female,43,Patna,Bihar,R003,Corporate,2025-04-06
C00028,Samaksh Johal,Male,54,Bengaluru,Karnataka,R002,Small Business,2024-02-12
C00029,Maanas Hegde,Male,59,Ahmedabad,Gujarat,R004,Corporate,2024-01-08
C00030,Omya Sanghvi,Female,27,Delhi,Delhi,R001,Corporate,2024-08-07
C00031,Ucchal Jayaraman,Male,65,Chennai,Tamil Nadu,R002,Small Business,2025-05-30
C00032,Jai Kothari,Female,65,Lucknow,Uttar Pradesh,R001,Small Business,2025-08-06
C00033,Ekiya Hegde,Female,41,Delhi,Delhi,R001,Consumer,2024-08-01
C00034,Triveni Sridhar,Female,23,Chennai,Tamil Nadu,R002,Consumer,2025-06-25
C00035,Bishakha Jani,Male,27,Visakhapatnam,Andhra Pradesh,R002,Small Business,2026-04-11
C00036,Yash Atwal,Female,56,Chennai,Tamil Nadu,R002,Consumer,2023-11-21
C00037,Thomas Bava,Female,56,Delhi,Delhi,R001,Corporate,2026-05-26
C00038,Pooja Naik,Female,53,Lucknow,Uttar Pradesh,R001,Consumer,2026-05-16
C00039,Hemani Loke,Male,61,Kolkata,West Bengal,R003,Small Business,2026-05-29
C00040,Saumya Shanker,Female,59,Patna,Bihar,R003,Corporate,2025-05-14
C00041,Rajata Kuruvilla,Female,45,Bengaluru,Karnataka,R002,Consumer,2025-06-15
C00042,Rohan Patla,Male,64,Noida,Uttar Pradesh,R001,Small Business,2024-12-14
C00043,Utkarsh Kapoor,Male,50,Pune,Maharashtra,R004,Consumer,2025-12-16
C00044,Vedhika Halder,Female,58,Visakhapatnam,Andhra Pradesh,R002,Small Business,2025-01-15
C00045,Riya Raja,Male,27,Jaipur,Rajasthan,R001,Corporate,2023-12-06
C00046,Mekhala Srivastava,Male,52,Patna,Bihar,R003,Small Business,2025-10-20
C00047,Bhavani Randhawa,Female,49,Hyderabad,Telangana,R002,Consumer,2024-01-20
C00048,Dev Sura,Female,37,Bengaluru,Karnataka,R002,Consumer,2025-07-28
C00049,Saksham Khatri,Male,54,Hyderabad,Telangana,R002,Consumer,2026-03-08
C00050,Falak Dyal,Female,22,Bengaluru,Karnataka,R002,Small Business,2025-10-30
C00051,Balendra Mangal,Male,26,Patna,Bihar,R003,Small Business,2023-07-27
C00052,Vasana Cherian,Male,34,Noida,Uttar Pradesh,R001,Small Business,2025-07-25
C00053,Tanmayi Kata,Female,31,Visakhapatnam,Andhra Pradesh,R002,Small Business,2026-04-14
C00054,Pallavi Sachar,Male,63,Patna,Bihar,R003,Corporate,2025-07-28
C00055,Balhaar Bala,Female,46,Delhi,Delhi,R001,Small Business,2025-11-19
C00056,Varenya Soman,Male,33,Noida,Uttar Pradesh,R001,Consumer,2026-05-30
C00057,Widisha Sarma,Female,19,Bengaluru,Karnataka,R002,Small Business,2025-04-04
C00058,Zarna Nath,Male,55,Lucknow,Uttar Pradesh,R001,Consumer,2024-07-27
C00059,Falak Karnik,Male,63,Hyderabad,Telangana,R002,Small Business,2024-05-30
C00060,Widisha Dhawan,Male,22,Hyderabad,Telangana,R002,Consumer,2024-03-19
C00061,Falak Nanda,Female,22,Visakhapatnam,Andhra Pradesh,R002,Small Business,2024-06-25
C00062,Andrew Bahri,Female,60,Mumbai,Maharashtra,R004,Corporate,2023-08-06
C00063,Urvashi Nazareth,Male,64,Mumbai,Maharashtra,R004,Small Business,2025-06-09
C00064,Aarna Mittal,Female,33,Jaipur,Rajasthan,R001,Corporate,2026-02-16
C00065,Garima Pillay,Female,30,Patna,Bihar,R003,Consumer,2023-08-13
C00066,Vasudha Tata,Female,40,Bengaluru,Karnataka,R002,Corporate,2025-09-24
C00067,Zarna Sharaf,Female,64,Delhi,Delhi,R001,Consumer,2024-03-24
C00068,Yashawini Doctor,Male,21,Kolkata,West Bengal,R003,Corporate,2024-08-25
C00069,Mason Uppal,Female,24,Bhubaneswar,Odisha,R003,Consumer,2024-08-07
C00070,Madhav Sethi,Male,52,Mumbai,Maharashtra,R004,Corporate,2025-12-27
C00071,Raagini Dhar,Female,29,Chennai,Tamil Nadu,R002,Corporate,2023-11-03
C00072,Rohan De,Male,22,Noida,Uttar Pradesh,R001,Corporate,2025-05-11
C00073,Qushi Dugal,Male,21,Patna,Bihar,R003,Small Business,2023-10-21
C00074,Jeevika Lanka,Male,23,Lucknow,Uttar Pradesh,R001,Consumer,2023-12-11
C00075,Ayush Prabhakar,Female,49,Chennai,Tamil Nadu,R002,Corporate,2024-10-08
C00076,Arunima Khatri,Female,21,Mumbai,Maharashtra,R004,Consumer,2026-01-12
C00077,Watika Bhat,Male,42,Delhi,Delhi,R001,Corporate,2025-10-15
C00078,Upkaar Choudhry,Female,36,Patna,Bihar,R003,Corporate,2025-11-27
C00079,Dayamai Acharya,Female,27,Bhubaneswar,Odisha,R003,Consumer,2026-03-24
C00080,Dakshesh Kamdar,Male,21,Pune,Maharashtra,R004,Small Business,2025-01-12
C00081,Victor Deep,Male,65,Bhubaneswar,Odisha,R003,Corporate,2024-04-07
C00082,Udant Tandon,Male,55,Hyderabad,Telangana,R002,Corporate,2024-05-06
C00083,Omaja Wali,Male,21,Lucknow,Uttar Pradesh,R001,Small Business,2026-02-12
C00084,Yadavi Borah,Male,22,Bengaluru,Karnataka,R002,Small Business,2025-08-07
C00085,Udant Khare,Male,43,Bengaluru,Karnataka,R002,Consumer,2025-12-19
C00086,Bhavini Pandit,Male,55,Jaipur,Rajasthan,R001,Small Business,2024-09-07
C00087,Tristan Sarma,Male,44,Hyderabad,Telangana,R002,Small Business,2024-10-20
C00088,Vansha Srinivas,Female,34,Jaipur,Rajasthan,R001,Consumer,2023-07-31
C00089,Yashoda Bath,Female,33,Kolkata,West Bengal,R003,Corporate,2025-09-26
C00090,Prisha Bakshi,Male,60,Delhi,Delhi,R001,Small Business,2026-01-04
C00091,Arunima Koshy,Female,38,Pune,Maharashtra,R004,Consumer,2025-03-06
C00092,Jacob Char,Female,57,Hyderabad,Telangana,R002,Small Business,2025-03-08
C00093,Tristan Palan,Male,52,Bengaluru,Karnataka,R002,Consumer,2025-07-24
C00094,Qushi Nanda,Female,26,Lucknow,Uttar Pradesh,R001,Corporate,2025-06-16
C00095,Vinaya Bal,Male,41,Bengaluru,Karnataka,R002,Corporate,2025-01-21
C00096,Nihal Yohannan,Female,52,Chennai,Tamil Nadu,R002,Small Business,2026-05-02
C00097,Vrinda Sagar,Male,60,Pune,Maharashtra,R004,Small Business,2023-11-03
C00098,Om Kapadia,Male,26,Pune,Maharashtra,R004,Corporate,2024-03-05
C00099,Charvi Saini,Male,65,Bengaluru,Karnataka,R002,Small Business,2024-08-01
C00100,Hemang Rastogi,Female,36,Chennai,Tamil Nadu,R002,Small Business,2024-05-17
C00101,Gaurang Pradhan,Female,31,Mumbai,Maharashtra,R004,Small Business,2025-10-17
C00102,Owen Savant,Female,50,Kolkata,West Bengal,R003,Corporate,2024-12-24
C00103,Amara Bandi,Male,23,Pune,Maharashtra,R004,Small Business,2025-01-07
C00104,Ladli Bhavsar,Female,20,Delhi,Delhi,R001,Consumer,2023-11-26
C00105,Baghyawati Sha,Male,58,Ahmedabad,Gujarat,R004,Corporate,2025-07-24
C00106,Hitesh Mane,Female,53,Chennai,Tamil Nadu,R002,Small Business,2024-02-24
C00107,Bishakha Mahal,Male,25,Delhi,Delhi,R001,Consumer,2024-04-06
C00108,Mahika Wali,Male,52,Bhubaneswar,Odisha,R003,Consumer,2023-12-06
C00109,Dalaja Pingle,Female,55,Visakhapatnam,Andhra Pradesh,R002,Small Business,2024-03-17
C00110,Utkarsh Sidhu,Female,26,Chennai,Tamil Nadu,R002,Consumer,2023-09-10
C00111,Agastya Gera,Female,20,Pune,Maharashtra,R004,Corporate,2026-05-20
C00112,Upadhriti Mitra,Male,60,Mumbai,Maharashtra,R004,Consumer,2025-09-19
C00113,Chanakya Dhawan,Female,57,Ahmedabad,Gujarat,R004,Small Business,2025-12-14
C00114,Frederick Subramaniam,Male,28,Chennai,Tamil Nadu,R002,Consumer,2023-08-11
C00115,Faqid Mitra,Male,29,Delhi,Delhi,R001,Small Business,2025-02-25
C00116,Fitan Singhal,Female,60,Ahmedabad,Gujarat,R004,Small Business,2023-10-27
C00117,Aarnav Jayaraman,Male,35,Patna,Bihar,R003,Consumer,2024-09-25
C00118,Tanveer Mohan,Male,42,Patna,Bihar,R003,Consumer,2025-10-31
C00119,Hardik Bahl,Female,32,Visakhapatnam,Andhra Pradesh,R002,Consumer,2025-03-16
C00120,Ridhi Ganesh,Female,40,Visakhapatnam,Andhra Pradesh,R002,Corporate,2024-01-19
C00121,Kai Ravi,Male,32,Visakhapatnam,Andhra Pradesh,R002,Consumer,2025-10-30
C00122,Vihaan Palan,Male,43,Kolkata,West Bengal,R003,Corporate,2024-04-21
C00123,Timothy Dugal,Male,35,Pune,Maharashtra,R004,Corporate,2024-08-06
C00124,Arya Patel,Female,61,Kolkata,West Bengal,R003,Small Business,2025-02-21
C00125,Vedant Morar,Male,25,Ahmedabad,Gujarat,R004,Corporate,2025-10-11
C00126,Yashica Sundaram,Female,20,Chennai,Tamil Nadu,R002,Consumer,2026-06-30
C00127,Zayan Shere,Female,40,Jaipur,Rajasthan,R001,Small Business,2023-12-06
C00128,Chakradhar Bali,Female,45,Patna,Bihar,R003,Small Business,2024-11-29
C00129,Tanish Shenoy,Male,42,Lucknow,Uttar Pradesh,R001,Small Business,2025-09-26
C00130,Amol Randhawa,Female,20,Mumbai,Maharashtra,R004,Small Business,2025-11-07
C00131,Luke Uppal,Male,51,Delhi,Delhi,R001,Small Business,2026-02-03
C00132,Tanveer Saraf,Male,41,Kolkata,West Bengal,R003,Corporate,2024-01-27
C00133,Gaurika Karan,Female,57,Bengaluru,Karnataka,R002,Corporate,2026-01-15
C00134,Viraj Patil,Male,64,Kolkata,West Bengal,R003,Corporate,2024-07-01
C00135,Tanish Arya,Female,60,Lucknow,Uttar Pradesh,R001,Corporate,2024-01-25
C00136,Ikshita Bala,Female,62,Ahmedabad,Gujarat,R004,Corporate,2026-04-19
C00137,Manya Narang,Male,30,Lucknow,Uttar Pradesh,R001,Corporate,2025-06-22
C00138,Ekantika Srivastava,Female,61,Kolkata,West Bengal,R003,Small Business,2023-08-18
C00139,Mitesh Toor,Female,43,Chennai,Tamil Nadu,R002,Small Business,2024-06-13
C00140,Bina Basak,Male,37,Visakhapatnam,Andhra Pradesh,R002,Corporate,2023-07-24
C00141,Nathan Tailor,Female,55,Mumbai,Maharashtra,R004,Small Business,2023-12-01
C00142,Zashil Kurian,Female,47,Kolkata,West Bengal,R003,Corporate,2025-11-22
C00143,Nitara Brar,Male,50,Noida,Uttar Pradesh,R001,Corporate,2024-01-01
C00144,Robert Basu,Male,60,Patna,Bihar,R003,Consumer,2025-07-18
C00145,Bhanumati Datta,Female,23,Pune,Maharashtra,R004,Consumer,2023-09-20
C00146,Jeremiah Grewal,Female,32,Kolkata,West Bengal,R003,Consumer,2026-02-26
C00147,Viraj Bala,Male,20,Chennai,Tamil Nadu,R002,Consumer,2025-08-22
C00148,Upadhriti Mahal,Male,47,Noida,Uttar Pradesh,R001,Corporate,2025-03-29
C00149,Nisha Wason,Male,63,Kolkata,West Bengal,R003,Small Business,2026-02-05
C00150,Netra Dada,Female,43,Delhi,Delhi,R001,Consumer,2023-07-12
C00151,Pahal Raja,Male,24,Chennai,Tamil Nadu,R002,Corporate,2025-12-26
C00152,Siddharth Sagar,Male,62,Mumbai,Maharashtra,R004,Small Business,2023-12-17
C00153,Kritika Savant,Male,53,Noida,Uttar Pradesh,R001,Consumer,2025-06-19
C00154,Forum Sandhu,Male,47,Visakhapatnam,Andhra Pradesh,R002,Consumer,2025-12-12
C00155,Ojas Sarma,Female,60,Patna,Bihar,R003,Small Business,2025-06-16
C00156,Niharika Dada,Female,46,Lucknow,Uttar Pradesh,R001,Small Business,2024-06-11
C00157,Inaya Balay,Female,53,Visakhapatnam,Andhra Pradesh,R002,Corporate,2025-05-27
C00158,Bhavna Setty,Female,46,Chennai,Tamil Nadu,R002,Corporate,2024-05-25
C00159,Kai Sarma,Male,58,Patna,Bihar,R003,Corporate,2024-07-28
C00160,Isaiah Dora,Female,58,Patna,Bihar,R003,Consumer,2024-08-16
C00161,Zinal Mistry,Female,22,Pune,Maharashtra,R004,Small Business,2023-12-06
C00162,Ranveer Gera,Male,35,Pune,Maharashtra,R004,Corporate,2024-03-02
C00163,Aarini Balasubramanian,Male,26,Ahmedabad,Gujarat,R004,Consumer,2024-10-13
C00164,Ishanvi Narayan,Female,62,Mumbai,Maharashtra,R004,Consumer,2025-09-07
C00165,Chakrika Tailor,Male,22,Bhubaneswar,Odisha,R003,Corporate,2024-09-28
C00166,Nilima Mandal,Female,52,Delhi,Delhi,R001,Corporate,2025-09-12
C00167,Warhi Patla,Male,31,Delhi,Delhi,R001,Corporate,2024-03-27
C00168,Agastya Shroff,Male,54,Delhi,Delhi,R001,Corporate,2024-12-21
C00169,Turvi Lal,Male,40,Noida,Uttar Pradesh,R001,Corporate,2024-12-04
C00170,Bahadurjit Kant,Female,44,Patna,Bihar,R003,Small Business,2025-09-16
C00171,Rushil Shankar,Male,49,Bhubaneswar,Odisha,R003,Consumer,2025-06-09
C00172,Yachana Kaur,Female,49,Pune,Maharashtra,R004,Consumer,2024-05-12
C00173,Aarnav Mammen,Female,60,Delhi,Delhi,R001,Small Business,2025-03-26
C00174,Ladli Maharaj,Female,64,Patna,Bihar,R003,Consumer,2025-09-12
C00175,Ekantika Mahal,Female,26,Visakhapatnam,Andhra Pradesh,R002,Small Business,2025-06-18
C00176,Amruta Sem,Male,43,Lucknow,Uttar Pradesh,R001,Small Business,2025-09-17
C00177,Kalpit Parsa,Male,23,Jaipur,Rajasthan,R001,Small Business,2025-12-12
C00178,Anusha Doctor,Male,47,Delhi,Delhi,R001,Consumer,2023-12-05
C00179,Indali Rajagopalan,Female,42,Hyderabad,Telangana,R002,Corporate,2023-10-27
C00180,Ekavir Bhatia,Female,38,Mumbai,Maharashtra,R004,Corporate,2024-08-04
C00181,Devika Sanghvi,Female,35,Patna,Bihar,R003,Corporate,2025-10-28
C00182,Ayaan Krishna,Male,48,Pune,Maharashtra,R004,Consumer,2024-12-08
C00183,Jason Kalla,Male,40,Bhubaneswar,Odisha,R003,Consumer,2024-03-06
C00184,Avi Apte,Male,59,Kolkata,West Bengal,R003,Consumer,2025-12-10
C00185,Balendra Gour,Male,33,Patna,Bihar,R003,Consumer,2023-11-15
C00186,Amaira Mahal,Male,57,Visakhapatnam,Andhra Pradesh,R002,Consumer,2025-12-25
C00187,Libni Dhawan,Male,48,Mumbai,Maharashtra,R004,Small Business,2024-05-18
C00188,Arin Chander,Male,47,Bengaluru,Karnataka,R002,Small Business,2024-09-13
C00189,Anita Gola,Female,28,Pune,Maharashtra,R004,Small Business,2023-10-19
C00190,Hiral Patil,Male,28,Jaipur,Rajasthan,R001,Corporate,2024-10-10
C00191,Samaksh Arya,Male,37,Bengaluru,Karnataka,R002,Small Business,2024-09-22
C00192,Shivani Mittal,Female,43,Kolkata,West Bengal,R003,Small Business,2026-04-18
C00193,Harini Kothari,Male,55,Mumbai,Maharashtra,R004,Small Business,2025-09-05
C00194,Lajita Barad,Male,24,Visakhapatnam,Andhra Pradesh,R002,Small Business,2026-04-26
C00195,Ira Master,Female,61,Patna,Bihar,R003,Small Business,2024-01-16
C00196,Teerth Parikh,Male,54,Patna,Bihar,R003,Consumer,2025-07-03
C00197,Neha Yadav,Female,60,Ahmedabad,Gujarat,R004,Corporate,2024-08-27
C00198,Robert Bera,Female,18,Bengaluru,Karnataka,R002,Corporate,2023-09-20
C00199,Amol Balakrishnan,Female,24,Visakhapatnam,Andhra Pradesh,R002,Corporate,2025-12-21
C00200,Harsh Sundaram,Female,63,Ahmedabad,Gujarat,R004,Consumer,2024-01-22
C00201,Triya Ranganathan,Male,64,Delhi,Delhi,R001,Small Business,2025-10-01
C00202,Yagnesh Dhar,Female,57,Kolkata,West Bengal,R003,Small Business,2023-11-11
C00203,Aarav Rajagopalan,Female,47,Patna,Bihar,R003,Corporate,2024-02-22
C00204,Nidhi Subramaniam,Female,38,Visakhapatnam,Andhra Pradesh,R002,Consumer,2024-10-31
C00205,Yagnesh Manne,Male,35,Visakhapatnam,Andhra Pradesh,R002,Corporate,2025-06-01
C00206,Mason Virk,Female,54,Mumbai,Maharashtra,R004,Small Business,2024-07-23
C00207,Kala Singhal,Female,39,Kolkata,West Bengal,R003,Consumer,2023-12-04
C00208,Max Chandra,Female,29,Noida,Uttar Pradesh,R001,Corporate,2024-05-02
C00209,Forum Gera,Female,34,Mumbai,Maharashtra,R004,Corporate,2025-03-24
C00210,Ikshita Deo,Female,53,Pune,Maharashtra,R004,Consumer,2024-03-23
C00211,Ikbal Gola,Male,23,Lucknow,Uttar Pradesh,R001,Consumer,2024-03-26
C00212,Samaksh Acharya,Female,49,Bhubaneswar,Odisha,R003,Small Business,2024-03-16
C00213,Xavier Guha,Male,62,Patna,Bihar,R003,Corporate,2025-04-14
C00214,Zarna Tata,Female,46,Kolkata,West Bengal,R003,Consumer,2025-12-01
C00215,Falak Dhillon,Female,32,Bengaluru,Karnataka,R002,Corporate,2023-08-01
C00216,Niharika Buch,Male,37,Bhubaneswar,Odisha,R003,Small Business,2023-09-14
C00217,Maya Rajagopal,Female,48,Jaipur,Rajasthan,R001,Small Business,2025-12-21
C00218,Garima Kale,Female,45,Lucknow,Uttar Pradesh,R001,Small Business,2024-03-06
C00219,Rudra Karpe,Female,40,Lucknow,Uttar Pradesh,R001,Small Business,2024-10-29
C00220,Sai Joshi,Female,37,Noida,Uttar Pradesh,R001,Corporate,2025-10-06
C00221,Ojasvi Zacharia,Male,64,Mumbai,Maharashtra,R004,Consumer,2024-05-07
C00222,Vedant Chada,Male,65,Ahmedabad,Gujarat,R004,Small Business,2026-03-04
C00223,Anthony Sehgal,Male,30,Patna,Bihar,R003,Consumer,2025-03-18
C00224,Suhani Vig,Female,35,Bhubaneswar,Odisha,R003,Small Business,2026-04-17
C00225,Unni Sundaram,Female,24,Jaipur,Rajasthan,R001,Consumer,2025-04-28
C00226,Owen Tiwari,Male,41,Pune,Maharashtra,R004,Consumer,2025-07-17
C00227,Gabriel Agrawal,Male,63,Pune,Maharashtra,R004,Small Business,2025-10-02
C00228,Deepa Tella,Female,20,Chennai,Tamil Nadu,R002,Consumer,2024-11-18
C00229,Aadhya Sachar,Female,62,Lucknow,Uttar Pradesh,R001,Consumer,2025-12-23
C00230,Maanas Issac,Female,24,Kolkata,West Bengal,R003,Consumer,2024-10-29
C00231,Ikshita Cherian,Female,48,Jaipur,Rajasthan,R001,Corporate,2026-06-09
C00232,Jeet Swamy,Female,29,Noida,Uttar Pradesh,R001,Consumer,2025-04-20
C00233,Jacob Das,Female,25,Pune,Maharashtra,R004,Consumer,2024-12-30
C00234,Ekavir Modi,Female,22,Delhi,Delhi,R001,Small Business,2026-01-22
C00235,Hemal Subramaniam,Male,27,Kolkata,West Bengal,R003,Consumer,2026-05-09
C00236,Ethan Chand,Female,23,Patna,Bihar,R003,Consumer,2025-10-14
C00237,Yasti Shan,Female,56,Bengaluru,Karnataka,R002,Small Business,2023-12-17
C00238,Zarna Dhawan,Male,51,Patna,Bihar,R003,Corporate,2025-10-04
C00239,Priya Amble,Female,37,Noida,Uttar Pradesh,R001,Small Business,2023-09-07
C00240,Maanav Anne,Female,54,Delhi,Delhi,R001,Small Business,2023-08-10
C00241,Ekbal Mitra,Male,31,Hyderabad,Telangana,R002,Small Business,2024-09-04
C00242,Zayan Manne,Female,60,Mumbai,Maharashtra,R004,Consumer,2025-01-23
C00243,Anjali Wable,Male,29,Chennai,Tamil Nadu,R002,Small Business,2023-07-26
C00244,Frederick Raja,Male,18,Bengaluru,Karnataka,R002,Corporate,2024-03-13
C00245,Dhruv Parekh,Female,36,Noida,Uttar Pradesh,R001,Consumer,2026-04-28
C00246,Sachi Sarna,Female,63,Mumbai,Maharashtra,R004,Corporate,2024-01-10
C00247,Sneha Vasa,Female,22,Bhubaneswar,Odisha,R003,Small Business,2024-01-31
C00248,Indali Goyal,Female,58,Mumbai,Maharashtra,R004,Small Business,2026-06-12
C00249,Qabil Zacharia,Male,45,Kolkata,West Bengal,R003,Consumer,2023-08-14
C00250,Warda Chokshi,Male,59,Lucknow,Uttar Pradesh,R001,Consumer,2023-11-03
C00251,Vihaan Dugal,Male,22,Pune,Maharashtra,R004,Consumer,2026-01-25
C00252,Bina Menon,Female,56,Chennai,Tamil Nadu,R002,Small Business,2024-05-06
C00253,Vihaan Sama,Female,46,Visakhapatnam,Andhra Pradesh,R002,Consumer,2025-11-20
C00254,Kala Parekh,Female,62,Noida,Uttar Pradesh,R001,Corporate,2025-09-13
C00255,Wakeeta Puri,Female,46,Pune,Maharashtra,R004,Consumer,2025-04-25
C00256,Gaurang Banerjee,Male,45,Jaipur,Rajasthan,R001,Small Business,2025-04-10
C00257,Timothy Mander,Female,19,Ahmedabad,Gujarat,R004,Consumer,2025-02-08
C00258,Amol Swamy,Male,61,Mumbai,Maharashtra,R004,Corporate,2025-07-23
C00259,Jack Anand,Male,29,Jaipur,Rajasthan,R001,Corporate,2025-01-30
C00260,Raagini Dhawan,Female,35,Lucknow,Uttar Pradesh,R001,Consumer,2025-11-09
C00261,Victor Tripathi,Female,58,Jaipur,Rajasthan,R001,Corporate,2025-03-10
C00262,Oni Pau,Female,40,Bengaluru,Karnataka,R002,Corporate,2026-03-14
C00263,Girindra Bhatti,Female,60,Ahmedabad,Gujarat,R004,Consumer,2023-07-29
C00264,Vidhi Patla,Male,39,Visakhapatnam,Andhra Pradesh,R002,Corporate,2024-02-15
C00265,Hredhaan Tripathi,Female,36,Bhubaneswar,Odisha,R003,Small Business,2026-05-30
C00266,Aryan Bhatti,Male,47,Delhi,Delhi,R001,Consumer,2023-10-05
C00267,Jagat Dave,Female,38,Ahmedabad,Gujarat,R004,Consumer,2023-12-15
C00268,Eta Agrawal,Female,50,Patna,Bihar,R003,Consumer,2024-04-14
C00269,Sachi Oommen,Female,44,Kolkata,West Bengal,R003,Consumer,2025-06-16
C00270,Harita Gara,Female,57,Mumbai,Maharashtra,R004,Corporate,2024-12-21
C00271,Nachiket Kara,Female,21,Kolkata,West Bengal,R003,Consumer,2025-11-29
C00272,Frado Dhar,Male,36,Pune,Maharashtra,R004,Corporate,2024-02-10
C00273,Onkar Deep,Female,25,Bhubaneswar,Odisha,R003,Consumer,2025-04-15
C00274,Kabir Sidhu,Male,63,Kolkata,West Bengal,R003,Consumer,2025-03-12
C00275,Leena Balan,Male,53,Pune,Maharashtra,R004,Corporate,2023-12-08
C00276,Vedika D’Alia,Male,25,Bengaluru,Karnataka,R002,Corporate,2024-12-26
C00277,Ekantika Yogi,Male,49,Bengaluru,Karnataka,R002,Small Business,2024-10-11
C00278,Liam Swamy,Female,44,Pune,Maharashtra,R004,Corporate,2025-11-14
C00279,Hitesh Iyer,Male,47,Noida,Uttar Pradesh,R001,Small Business,2023-11-24
C00280,Amruta Johal,Female,30,Chennai,Tamil Nadu,R002,Small Business,2025-08-31
C00281,Thomas D’Alia,Male,22,Lucknow,Uttar Pradesh,R001,Corporate,2025-01-01
C00282,Ati Kale,Female,39,Patna,Bihar,R003,Small Business,2025-02-18
C00283,Forum Raghavan,Male,36,Pune,Maharashtra,R004,Small Business,2023-12-23
C00284,Saanvi Bala,Female,27,Pune,Maharashtra,R004,Corporate,2025-01-27
C00285,Aishani Shukla,Female,40,Lucknow,Uttar Pradesh,R001,Corporate,2026-06-25
C00286,Aadi Murthy,Female,47,Lucknow,Uttar Pradesh,R001,Corporate,2026-02-19
C00287,Jagdish Issac,Male,62,Visakhapatnam,Andhra Pradesh,R002,Consumer,2023-11-21
C00288,Darpan Taneja,Female,32,Jaipur,Rajasthan,R001,Corporate,2024-02-24
C00289,Gaurang Chanda,Female,65,Hyderabad,Telangana,R002,Corporate,2024-08-25
C00290,Ekta Sinha,Female,42,Bhubaneswar,Odisha,R003,Small Business,2023-11-19
C00291,Chakrika Trivedi,Male,49,Patna,Bihar,R003,Consumer,2024-10-19
C00292,Devansh Chowdhury,Female,24,Chennai,Tamil Nadu,R002,Corporate,2023-08-09
C00293,Isha Bir,Female,18,Bengaluru,Karnataka,R002,Small Business,2024-10-17
C00294,Faraj Keer,Female,59,Chennai,Tamil Nadu,R002,Consumer,2025-12-09
C00295,Mugdha Mani,Female,34,Bengaluru,Karnataka,R002,Corporate,2025-04-23
C00296,Neha Nayar,Female,59,Jaipur,Rajasthan,R001,Consumer,2025-01-30
C00297,Zansi Sheth,Female,61,Visakhapatnam,Andhra Pradesh,R002,Small Business,2024-06-30
C00298,Indira Bedi,Female,58,Delhi,Delhi,R001,Small Business,2025-01-29
C00299,Aayush Vohra,Female,52,Patna,Bihar,R003,Consumer,2025-07-17
C00300,Indira Lad,Male,33,Jaipur,Rajasthan,R001,Small Business,2026-02-09
C00301,Raksha Arya,Female,32,Kolkata,West Bengal,R003,Small Business,2025-06-20
C00302,Frado Sachar,Female,24,Bengaluru,Karnataka,R002,Small Business,2023-11-14
